Dealer_Code,Region,City_Tier,Dealer_Since,Month,Order_Volume_Index,Target_Index,Achievement_Percent,Order_Value_Index,Premium_Mix_Percent,Order_To_Dispatch_Days,On_Time_Dispatch_Percent,Short_Supply_Incidents,Complaints_Raised,Complaints_Closed,Open_Complaint_Age_Days,Top_Defect_Category,Outstanding_Index,Overdue_Days,Credit_Utilisation_Percent,Training_Sessions_Attended,Fabrication_Audit_Score,Risk_Level,Notes
Dealer N,South,Tier-2,2021,2026-03,32.8,42.4,77.2,39.8,33.6,11.6,74.9,0,2,1,40,Hardware fitment,16.6,0,74.5,1,84.9,Watch,
Dealer N,South,Tier-2,2021,2026-04,31.0,39.8,77.9,37.6,35.3,12.0,70.4,1,2,1,14,Hardware fitment,18.3,0,43.0,0,84.2,Watch,
Dealer N,South,Tier-2,2021,2026-05,29.3,37.5,78.1,39.4,35.7,10.3,70.6,1,2,1,21,Welded corner finish,18.3,0,74.1,0,84.0,Watch,
Dealer N,South,Tier-2,2021,2026-06,27.5,34.7,79.5,35.3,32.6,11.5,74.6,0,2,1,34,Hardware fitment,17.8,0,74.0,1,83.8,Watch,
Dealer N,South,Tier-2,2021,2026-07,25.8,33.0,78.2,31.9,35.7,10.8,71.4,0,0,0,0,None,15.6,0,58.5,2,85.0,Watch,
Dealer N,South,Tier-2,2021,2026-08,24.0,30.4,79.1,32.7,30.7,12.8,74.7,1,0,0,0,None,13.8,0,62.8,0,84.4,Watch,
Dealer N,South,Tier-2,2021,2026-09,22.3,28.2,79.1,29.2,34.6,12.8,70.7,0,1,1,43,Hardware fitment,12.6,0,79.3,1,84.0,Watch,
Dealer O,South,Tier-3,2019,2025-10,38.3,40.1,95.5,50.7,35.8,10.9,74.6,0,0,0,0,None,20.7,0,79.5,1,83.1,Stable,
Dealer O,South,Tier-3,2019,2025-11,35.8,37.6,95.1,46.4,34.2,10.4,73.5,0,0,0,0,None,22.9,0,75.4,1,83.2,Stable,
Dealer O,South,Tier-3,2019,2025-12,34.4,35.8,96.1,42.0,35.6,10.6,71.9,0,1,0,46,Welded corner finish,24.4,0,42.7,0,82.5,Stable,
Dealer O,South,Tier-3,2019,2026-01,32.5,34.0,95.5,41.8,35.9,11.1,70.5,0,0,0,0,None,19.8,0,77.2,2,83.3,Stable,
Dealer O,South,Tier-3,2019,2026-02,34.7,36.2,95.8,45.0,30.3,11.5,71.9,1,1,0,43,Hardware fitment,26.2,0,59.7,2,83.6,Stable,
Dealer O,South,Tier-3,2019,2026-03,32.3,34.2,94.5,42.0,31.1,10.3,73.3,0,1,1,19,Hardware fitment,24.8,0,64.1,2,82.8,Stable,
Dealer O,South,Tier-3,2019,2026-04,36.8,38.9,94.7,46.6,35.9,12.8,73.0,0,1,0,21,Welded corner finish,26.2,0,62.2,2,82.1,Stable,
Dealer O,South,Tier-3,2019,2026-05,37.2,39.2,94.7,51.7,31.8,12.1,74.7,1,1,0,15,Hardware fitment,24.5,0,60.4,1,83.7,Stable,
Dealer O,South,Tier-3,2019,2026-06,35.1,36.7,95.8,44.9,34.2,11.7,71.4,0,0,0,0,None,24.7,0,73.1,1,83.0,Stable,
Dealer O,South,Tier-3,2019,2026-07,36.9,38.5,96.0,48.3,35.9,11.1,73.0,0,1,0,12,Welded corner finish,27.3,0,42.9,0,81.9,Stable,
Dealer O,South,Tier-3,2019,2026-08,33.3,35.6,93.4,43.1,34.8,10.6,73.6,0,0,0,0,None,16.9,0,40.7,0,81.8,Stable,
Dealer O,South,Tier-3,2019,2026-09,35.1,36.6,95.9,43.9,34.9,11.4,73.8,1,0,0,0,None,24.4,0,51.0,2,81.9,Stable,
Dealer P,South,Tier-2,2017,2025-10,63.0,65.9,95.6,85.6,33.4,12.5,73.8,0,2,1,25,Welded corner finish,42.9,0,44.8,1,83.1,Caution,
Dealer P,South,Tier-2,2017,2025-11,56.0,58.0,96.6,71.5,32.9,11.5,72.8,1,3,2,13,Hardware fitment,32.4,0,66.6,0,81.7,Caution,
Dealer P,South,Tier-2,2017,2025-12,55.2,57.0,96.8,68.8,31.2,10.6,74.6,0,1,1,41,Welded corner finish,31.3,0,57.0,0,83.2,Caution,
Dealer P,South,Tier-2,2017,2026-01,65.7,68.1,96.6,84.5,31.0,12.8,70.8,1,2,1,34,Hardware fitment,47.3,0,73.8,1,83.0,Caution,
Dealer P,South,Tier-2,2017,2026-02,57.4,60.8,94.5,73.2,35.4,12.9,72.3,1,0,0,0,None,36.3,0,46.2,0,82.5,Caution,
Dealer P,South,Tier-2,2017,2026-03,56.6,58.6,96.6,68.3,35.5,11.9,70.2,1,4,4,30,Welded corner finish,28.8,0,75.1,2,82.8,Caution,
Dealer P,South,Tier-2,2017,2026-04,65.5,67.7,96.7,84.0,35.1,11.3,73.6,0,1,0,48,Welded corner finish,38.1,0,45.9,1,81.7,Caution,
Dealer P,South,Tier-2,2017,2026-05,57.1,59.0,96.8,75.3,34.9,10.9,73.9,1,2,1,42,Hardware fitment,36.8,0,65.3,0,81.9,Caution,
Dealer P,South,Tier-2,2017,2026-06,55.5,58.5,94.8,69.5,34.4,12.5,71.3,0,0,0,0,None,35.4,0,42.7,2,82.0,Caution,
Dealer P,South,Tier-2,2017,2026-07,64.6,68.4,94.5,88.3,30.5,10.0,71.4,0,0,0,0,None,42.0,0,65.1,0,81.8,Caution,
Dealer P,South,Tier-2,2017,2026-08,59.7,63.0,94.8,77.2,31.3,11.0,73.4,0,3,2,32,Hardware fitment,30.7,0,69.1,1,81.9,Caution,
Dealer P,South,Tier-2,2017,2026-09,64.9,68.3,95.0,78.1,30.5,11.3,73.2,0,0,0,0,None,36.6,0,70.5,1,81.5,Caution,
Dealer Q,East,Tier-2,2020,2025-10,72.6,76.9,94.3,90.7,31.4,16.9,56.8,0,4,4,14,Sash alignment,49.3,41,74.0,2,63.1,Critical,
Dealer Q,East,Tier-2,2020,2025-11,76.7,81.8,93.8,97.5,32.2,16.5,58.7,0,2,2,30,Sash alignment,41.5,48,47.8,1,62.9,Critical,
Dealer Q,East,Tier-2,2020,2025-12,73.8,77.7,95.0,91.9,30.5,16.6,58.8,0,3,3,22,Hardware fitment,47.3,68,63.3,2,62.8,Critical,
Dealer Q,East,Tier-2,2020,2026-01,67.8,72.5,93.6,92.7,30.5,17.4,59.0,0,5,5,28,Sash alignment,51.9,81,52.3,0,62.4,Critical,
Dealer Q,East,Tier-2,2020,2026-02,82.1,85.3,96.2,100.5,32.4,15.8,55.7,2,1,1,38,Hardware fitment,48.0,62,68.0,1,61.9,Critical,
Dealer Q,East,Tier-2,2020,2026-03,68.2,71.2,95.7,87.0,33.2,19.6,58.4,3,2,2,39,Sash alignment,46.1,60,78.3,1,62.2,Critical,
Dealer Q,East,Tier-2,2020,2026-04,76.4,80.2,95.3,104.7,31.1,19.7,58.4,4,4,3,47,Hardware fitment,59.2,39,47.7,0,61.3,Critical,
Dealer Q,East,Tier-2,2020,2026-05,68.3,72.1,94.8,83.3,33.0,19.6,54.4,2,2,2,28,Hardware fitment,46.8,80,45.6,1,62.5,Critical,
Dealer Q,East,Tier-2,2020,2026-06,69.5,72.6,95.7,94.3,32.1,20.2,53.4,3,4,4,42,Sash alignment,44.7,117,76.2,0,62.0,Critical,
Dealer Q,East,Tier-2,2020,2026-07,81.9,87.5,93.6,112.3,32.4,19.5,51.8,4,1,0,42,Sash alignment,53.4,32,80.0,2,63.1,Critical,
Dealer Q,East,Tier-2,2020,2026-08,82.0,87.0,94.3,112.3,33.4,20.6,57.5,2,1,1,33,Gasket seating,43.2,64,73.6,0,61.8,Critical,
Dealer Q,East,Tier-2,2020,2026-09,67.5,71.2,94.8,85.9,30.5,19.6,52.0,2,6,6,25,Sash alignment,45.3,41,50.8,0,62.7,Critical,
Dealer R,East,Metro,2018,2025-10,87.3,92.1,94.8,121.0,31.7,15.2,50.6,1,0,0,0,None,60.9,0,78.8,0,84.5,Stable,
Dealer R,East,Metro,2018,2025-11,86.1,91.3,94.4,118.5,32.3,16.0,50.9,2,0,0,0,None,63.2,0,64.4,2,85.6,Stable,
Dealer R,East,Metro,2018,2025-12,100.3,104.8,95.7,130.1,30.2,15.4,52.1,1,1,1,38,Hardware fitment,51.5,0,56.4,1,84.0,Stable,
Dealer R,East,Metro,2018,2026-01,90.2,94.0,96.0,112.0,30.1,17.6,56.7,0,0,0,0,None,69.1,0,72.8,0,84.7,Stable,
Dealer R,East,Metro,2018,2026-02,88.2,93.2,94.7,121.4,30.4,16.2,58.0,1,2,1,49,Hardware fitment,46.7,0,74.3,0,85.6,Stable,
Dealer R,East,Metro,2018,2026-03,90.2,96.5,93.4,108.6,33.7,20.4,55.5,2,1,1,23,Gasket seating,71.6,0,40.5,1,84.0,Stable,
Dealer R,East,Metro,2018,2026-04,90.2,94.1,95.9,124.5,33.9,20.2,59.3,4,2,1,11,Sash alignment,62.1,0,72.1,2,84.8,Stable,
Dealer R,East,Metro,2018,2026-05,87.5,91.0,96.1,119.4,34.9,20.6,52.5,4,2,1,49,Gasket seating,51.9,0,79.9,2,85.6,Stable,
Dealer R,East,Metro,2018,2026-06,99.7,104.6,95.3,124.6,30.5,19.1,57.7,3,2,2,27,Gasket seating,68.7,0,76.9,2,85.0,Stable,
Dealer R,East,Metro,2018,2026-07,97.7,102.3,95.5,132.9,32.9,19.6,59.4,4,1,0,21,Gasket seating,64.0,0,62.4,2,85.3,Stable,
Dealer R,East,Metro,2018,2026-08,89.3,94.5,94.5,124.5,32.9,20.9,51.9,2,0,0,0,None,61.6,0,73.7,1,85.7,Stable,
Dealer R,East,Metro,2018,2026-09,82.9,88.8,93.3,111.6,35.8,20.6,57.9,4,1,0,28,Sash alignment,41.8,0,59.2,2,84.1,Stable,
Dealer S,East,Tier-3,2022,2025-10,34.7,35.8,96.7,44.4,31.6,16.0,54.6,2,0,0,0,None,21.9,0,77.6,1,82.7,Stable,
Dealer S,East,Tier-3,2022,2025-11,41.4,43.3,95.5,55.2,34.0,17.4,58.1,2,1,0,44,Hardware fitment,32.8,0,47.5,1,82.5,Stable,
Dealer S,East,Tier-3,2022,2025-12,36.6,38.0,96.4,48.1,31.5,15.7,50.3,1,0,0,0,None,19.8,0,77.2,0,82.8,Stable,
Dealer S,East,Tier-3,2022,2026-01,35.2,37.3,94.3,48.3,35.4,16.7,53.7,1,0,0,0,None,22.6,0,75.9,0,82.4,Stable,
Dealer S,East,Tier-3,2022,2026-02,37.7,39.7,94.8,49.2,35.7,15.6,55.3,1,0,0,0,None,27.8,0,78.5,2,83.7,Stable,
Dealer S,East,Tier-3,2022,2026-03,36.9,39.0,94.6,45.4,32.2,20.1,55.1,4,0,0,0,None,28.0,0,51.0,0,82.7,Stable,
Dealer S,East,Tier-3,2022,2026-04,41.6,42.9,96.9,50.0,33.6,20.8,57.2,4,0,0,0,None,25.6,0,75.3,1,83.9,Stable,
Dealer S,East,Tier-3,2022,2026-05,37.8,39.2,96.3,51.0,33.0,19.7,53.4,3,0,0,0,None,28.7,0,54.0,1,83.4,Stable,
Dealer S,East,Tier-3,2022,2026-06,40.4,42.7,94.4,49.6,35.0,19.4,57.3,2,1,0,27,Hardware fitment,22.1,0,75.9,0,83.6,Stable,
Dealer S,East,Tier-3,2022,2026-07,35.0,36.2,96.7,42.4,34.1,20.1,52.2,3,1,1,15,Sash alignment,27.6,0,77.1,2,82.9,Stable,
Dealer S,East,Tier-3,2022,2026-08,39.7,41.8,94.8,48.9,32.7,20.1,50.4,2,2,2,18,Gasket seating,20.8,0,61.6,2,83.1,Stable,
Dealer S,East,Tier-3,2022,2026-09,38.2,40.5,94.4,51.0,34.2,19.4,59.0,3,1,1,45,Sash alignment,24.6,0,53.1,1,82.9,Stable,
Dealer T,East,Tier-2,2021,2025-10,50.4,52.2,96.6,65.2,33.6,15.6,50.1,1,2,2,38,Sash alignment,39.0,0,47.7,0,84.1,Caution,
Dealer T,East,Tier-2,2021,2025-11,49.8,51.6,96.5,61.0,30.6,16.6,50.0,0,4,4,34,Hardware fitment,36.8,0,51.0,1,84.2,Caution,
Dealer T,East,Tier-2,2021,2025-12,59.9,62.4,96.0,83.6,33.2,16.0,58.5,2,1,1,43,Hardware fitment,40.8,0,60.7,0,84.2,Caution,
Dealer T,East,Tier-2,2021,2026-01,50.3,53.3,94.5,70.3,33.1,15.8,57.1,2,2,2,15,Hardware fitment,40.2,0,73.8,1,84.6,Caution,
Dealer T,East,Tier-2,2021,2026-02,58.9,61.0,96.5,73.7,32.4,16.1,58.8,2,2,1,33,Gasket seating,32.9,0,57.9,0,84.6,Caution,
Dealer T,East,Tier-2,2021,2026-03,57.5,60.0,95.7,69.0,30.3,20.7,57.3,3,1,0,14,Sash alignment,40.2,0,63.3,2,84.4,Caution,
Dealer T,East,Tier-2,2021,2026-04,53.0,56.1,94.4,69.9,30.1,20.4,53.5,2,2,2,11,Sash alignment,37.1,0,41.4,0,83.7,Caution,
Dealer T,East,Tier-2,2021,2026-05,52.8,55.8,94.7,71.3,33.9,19.3,57.4,4,2,2,32,Gasket seating,38.0,0,43.5,2,84.9,Caution,
Dealer T,East,Tier-2,2021,2026-06,60.4,63.6,95.0,79.2,34.3,20.7,54.1,2,2,2,31,Sash alignment,45.0,0,65.6,0,84.4,Caution,
Dealer T,East,Tier-2,2021,2026-07,51.9,54.7,94.8,68.9,31.2,20.1,58.2,4,2,1,41,Hardware fitment,31.3,0,46.7,1,83.8,Caution,
Dealer T,East,Tier-2,2021,2026-08,55.2,57.5,96.1,74.7,32.8,19.6,55.5,3,2,2,19,Sash alignment,29.0,0,62.1,1,83.4,Caution,
Dealer T,East,Tier-2,2021,2026-09,57.8,61.4,94.2,74.5,33.0,20.8,56.9,3,0,0,0,None,41.4,0,47.5,2,83.6,Caution,
